[0.130973, 0.330973] ; [0.679451, 0.879451] ; [1.14496, 1.34496]
[0.131021, 0.331021] ; [0.678882, 0.878882] ; [1.14441, 1.34441]
[0.136464, 0.336464] ; [0.678124, 0.878124] ; [1.14371, 1.34371]
[0.141858, 0.341858] ; [0.67737, 0.87737] ; [1.14302, 1.34302]
[0.147221, 0.347221] ; [0.676618, 0.876618] ; [1.14233, 1.34233]
[0.152497, 0.352497] ; [0.675873, 0.875873] ; [1.14165, 1.34165]
[0.157815, 0.357815] ; [0.67512, 0.87512] ; [1.14097, 1.34097]
[0.163043, 0.363043] ; [0.674376, 0.874376] ; [1.14029, 1.34029]
[0.168207, 0.368207] ; [0.673638, 0.873638] ; [1.13961, 1.33961]
[0.173406, 0.373406] ; [0.672893, 0.872893] ; [1.13893, 1.33893]
[0.178639, 0.378639] ; [0.672138, 0.872138] ; [1.13824, 1.33824]
[0.183603, 0.383603] ; [0.67142, 0.87142] ; [1.13759, 1.33759]
[0.188652, 0.388652] ; [0.670687, 0.870687] ; [1.13692, 1.33692]
[0.193605, 0.393605] ; [0.669965, 0.869965] ; [1.13626, 1.33626]
[0.198601, 0.398601] ; [0.669233, 0.869233] ; [1.1356, 1.3356]
[0.203555, 0.403555] ; [0.668506, 0.868506] ; [1.13493, 1.33493]
[0.208433, 0.408433] ; [0.667787, 0.867787] ; [1.13428, 1.33428]
[0.213312, 0.413312] ; [0.667064, 0.867064] ; [1.13362, 1.33362]
[0.218148, 0.418148] ; [0.666346, 0.866346] ; [1.13297, 1.33297]
[0.222958, 0.422958] ; [0.665629, 0.865629] ; [1.13232, 1.33232]
[0.227754, 0.427754] ; [0.664911, 0.864911] ; [1.13167, 1.33167]
[0.23249, 0.43249] ; [0.6642, 0.8642] ; [1.13102, 1.33102]
[0.237131, 0.437131] ; [0.663498, 0.863498] ; [1.13039, 1.33039]
[0.24176, 0.44176] ; [0.662795, 0.862795] ; [1.12975, 1.32975]
[0.246311, 0.446311] ; [0.662102, 0.862102] ; [1.12912, 1.32912]
[0.250857, 0.450857] ; [0.661406, 0.861406] ; [1.1285, 1.3285]
[0.255393, 0.455393] ; [0.66071, 0.86071] ; [1.12787, 1.32787]
[0.25985, 0.45985] ; [0.660022, 0.860022] ; [1.12725, 1.32725]
[0.264336, 0.464336] ; [0.659328, 0.859328] ; [1.12662, 1.32662]
[0.26871, 0.46871] ; [0.658649, 0.858649] ; [1.12601, 1.32601]
[0.273125, 0.473125] ; [0.657961, 0.857961] ; [1.12539, 1.32539]
[0.277472, 0.477472] ; [0.65728, 0.85728] ; [1.12478, 1.32478]
[0.281772, 0.481772] ; [0.656604, 0.856604] ; [1.12417, 1.32417]
[0.28609, 0.48609] ; [0.655923, 0.855923] ; [1.12356, 1.32356]
[0.290359, 0.490359] ; [0.655246, 0.855246] ; [1.12295, 1.32295]
[0.294556, 0.494556] ; [0.654578, 0.854578] ; [1.12235, 1.32235]
[0.298756, 0.498756] ; [0.653906, 0.853906] ; [1.12175, 1.32175]
[0.302968, 0.502968] ; [0.653229, 0.853229] ; [1.12114, 1.32114]
[0.30707, 0.50707] ; [0.652567, 0.852567] ; [1.12055, 1.32055]
[0.311134, 0.511134] ; [0.651905, 0.851905] ; [1.11996, 1.31996]
[0.315154, 0.515154] ; [0.651248, 0.851248] ; [1.11937, 1.31937]
[0.319156, 0.519156] ; [0.65059, 0.85059] ; [1.11878, 1.31878]
[0.323122, 0.523122] ; [0.649935, 0.849935] ; [1.1182, 1.3182]
[0.327044, 0.527044] ; [0.649284, 0.849284] ; [1.11762, 1.31762]
[0.33097, 0.53097] ; [0.648628, 0.848628] ; [1.11704, 1.31704]
[0.334843, 0.534843] ; [0.647977, 0.847977] ; [1.11646, 1.31646]
[0.33865, 0.53865] ; [0.647335, 0.847335] ; [1.11589, 1.31589]
